state,cases,active,deaths
Andaman and Nicobar Islands,10766,0,129
Andhra Pradesh,2341097,0,14733
Arunachal Pradesh,67049,0,296
Assam,746244,1,8037
Bihar,855691,0,12315
Chandigarh,100756,0,1186
Chhattisgarh,1188588,0,14202
Dadra and Nagar Haveli and Daman and Diu,11592,0,4
Delhi,2043236,15,26696
Goa,263684,2,4014
Gujarat,1292602,7,11100
Haryana,1079178,0,10786
Himachal Pradesh,323111,0,4246
Jammu and Kashmir,482190,0,4793
Jharkhand,443861,0,5337
Karnataka,4097120,6,40406
Kerala***,6920353,45,72132
Ladakh,29683,0,231
Lakshadweep,11415,0,52
Madhya Pradesh,1056778,0,10786
Maharashtra,8177736,106,148602
Manipur,140040,0,2149
Meghalaya,96994,0,1628
Mizoram,239576,7,734
Nagaland,36033,0,782
Odisha,1348697,0,9215
Puducherry,177780,1,1982
Punjab,793948,4,20593
Rajasthan,1327825,3,9746
Sikkim,44971,3,501
Tamil Nadu,3611992,6,38086
Telangana,844893,0,4111
Tripura,108584,0,943
Uttarakhand,452748,1,7778
Uttar Pradesh,2146148,6,23733
West Bengal,2127846,34,21558
